id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance
f_c6RRYh3Mf9n4S4nsSB8A,park-and-kim-honolulu-3,Park & Kim,https://s3-media2.fl.yelpcdn.com/bphoto/M1NiZA2o1YlegXjzZlK6Wg/o.jpg,false,https://www.yelp.com/biz/park-and-kim-honolulu-3?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,54,"[object Object],[object Object]",5,[object Object],,[object Object],+18084830302,(808) 483-0302,274.2520303576333
yxxnjZ7aw-zY0pAtaUW1fQ,guy-matsunaga-attorney-at-law-honolulu,Guy Matsunaga Attorney At Law,,false,https://www.yelp.com/biz/guy-matsunaga-attorney-at-law-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,28,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18082211785,(808) 221-1785,314.1937120070213
W2qiSLZQD9k4v6O-etGZMg,landsberg-law-office-honolulu,Landsberg Law Office,https://s3-media2.fl.yelpcdn.com/bphoto/dKuXxMTsNNIkpk8BsNSCLw/o.jpg,false,https://www.yelp.com/biz/landsberg-law-office-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,26,"[object Object],[object Object]",5,[object Object],,[object Object],+18082307419,(808) 230-7419,241.60213559015452
SlUT9fvyLqUTIJz_BXu8HA,leavitt-yamane-and-soldner-honolulu-2,"Leavitt, Yamane & Soldner",https://s3-media4.fl.yelpcdn.com/bphoto/wMf6Kk0cPTCvWXG8qFiNAQ/o.jpg,false,https://www.yelp.com/biz/leavitt-yamane-and-soldner-honolulu-2?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,19,[object Object],4,[object Object],,[object Object],+18085372525,(808) 537-2525,241.27844603664084
7jLYYLkkeJeKnKkrn_6X7Q,greg-ryan-and-associates-honolulu,Greg Ryan & Associates,https://s3-media4.fl.yelpcdn.com/bphoto/euEym8h-wpu0GFljlhlu8Q/o.jpg,false,https://www.yelp.com/biz/greg-ryan-and-associates-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,16,[object Object],5,[object Object],,[object Object],+18085329933,(808) 532-9933,280.62045606156585
IWY6auSgI6oTyjur-FjrOg,law-office-of-jason-z-say-honolulu,Law Office of Jason Z. Say,https://s3-media2.fl.yelpcdn.com/bphoto/3W8Oi7irHArd1_PvD0cV0A/o.jpg,false,https://www.yelp.com/biz/law-office-of-jason-z-say-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,34,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18086797360,(808) 679-7360,1672.1117115911868
YOmA_xhLCiF5HZEmOyxRxw,michael-jay-green-attorney-at-law-honolulu,Michael Jay Green Attorney-At-Law,https://s3-media3.fl.yelpcdn.com/bphoto/4gexzOtdhKixuGx9Fa7SCg/o.jpg,false,https://www.yelp.com/biz/michael-jay-green-attorney-at-law-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,6,"[object Object],[object Object]",3.5,[object Object],,[object Object],+18085213336,(808) 521-3336,254.23586137920557
j1YGQO7HVdtT-td-MnvOHw,law-offices-of-james-b-lewis-honolulu-2,Law Offices of James B Lewis,https://s3-media2.fl.yelpcdn.com/bphoto/zb77VImcoRakEEB5z4asLA/o.jpg,false,https://www.yelp.com/biz/law-offices-of-james-b-lewis-honolulu-2?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,24,"[object Object],[object Object],[object Object]",4.5,[object Object],,[object Object],+18087287778,(808) 728-7778,2308.8399232838456
Z8rb8bHL08bGM8KMtYxRuQ,na-lan-damon-key-leong-kupchak-hastert-honolulu,Na Lan - Damon Key Leong Kupchak Hastert,https://s3-media1.fl.yelpcdn.com/bphoto/UionEbuQCyLbGmVoTiQTzw/o.jpg,false,https://www.yelp.com/biz/na-lan-damon-key-leong-kupchak-hastert-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,2,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18085318031,(808) 531-8031,271.09368034673344
DlrBSgewY4TAQIulsdk-HA,law-offices-of-ian-mattoch-honolulu-4,Law Offices of Ian Mattoch,https://s3-media2.fl.yelpcdn.com/bphoto/_62ip6I9FnJWr32B6MNY7w/o.jpg,false,https://www.yelp.com/biz/law-offices-of-ian-mattoch-honolulu-4?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,7,"[object Object],[object Object]",3.5,[object Object],,[object Object],+18085232451,(808) 523-2451,241.27844603664084
4U9RXJr7ArqxBGsN-HxhXg,law-offices-of-david-w-barlow-honolulu,Law Offices of David W Barlow,https://s3-media4.fl.yelpcdn.com/bphoto/kc_fhYU_Kx0CAtYe6Oeh2g/o.jpg,false,https://www.yelp.com/biz/law-offices-of-david-w-barlow-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,1,[object Object],5,[object Object],,[object Object],+18086920606,(808) 692-0606,332.5358404508441
2Ct6HE7l_fTUO0qjKfIPEw,the-law-office-of-victor-bakke-alc-honolulu,"The Law Office of Victor Bakke, ALC",https://s3-media4.fl.yelpcdn.com/bphoto/uEzqFFx22CCe7zEmNNrxdA/o.jpg,false,https://www.yelp.com/biz/the-law-office-of-victor-bakke-alc-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,17,"[object Object],[object Object]",5,[object Object],,[object Object],+18083698170,(808) 369-8170,192.62015980760248
nY_IBhF9oVRMzYFd_DT2jw,hawaii-convey-honolulu,Hawaii Convey,https://s3-media4.fl.yelpcdn.com/bphoto/DNyoB468NkuBGsfi9joofQ/o.jpg,false,https://www.yelp.com/biz/hawaii-convey-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,1,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18087928777,(808) 792-8777,233.7336816849158
8y8dtr3dHi7wmwEZJ1IrSQ,law-office-of-emma-littman-baker-honolulu-2,Law Office of Emma Littman Baker,https://s3-media4.fl.yelpcdn.com/bphoto/5ZaIZNad45YEeJlgTjhIYQ/o.jpg,false,https://www.yelp.com/biz/law-office-of-emma-littman-baker-honolulu-2?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,4,[object Object],5,[object Object],,[object Object],+18082030820,(808) 203-0820,264.36412214950855
tQNs1x7GiYuL-rauJFBocQ,affinity-law-group-honolulu,Affinity Law Group,https://s3-media4.fl.yelpcdn.com/bphoto/bCeX_YH4nHWQedpmcvb0lQ/o.jpg,false,https://www.yelp.com/biz/affinity-law-group-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,7,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18085454600,(808) 545-4600,426.1324485159887
fjQ7Vzz1CReAc6OqB_PKWw,damon-key-leong-kupchak-hastert-honolulu,Damon Key Leong Kupchak Hastert,https://s3-media1.fl.yelpcdn.com/bphoto/FB43KKwrZzFmiwr61lzBog/o.jpg,false,https://www.yelp.com/biz/damon-key-leong-kupchak-hastert-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,5,"[object Object],[object Object],[object Object]",5,[object Object],,[object Object],+18085318031,(808) 531-8031,266.3771572355591
hW30Um5YZWUaXfOZglWFjg,law-office-of-michelle-k-ching-honolulu,Law Office of Michelle K Ching,https://s3-media2.fl.yelpcdn.com/bphoto/okjFZPF4vjq_KFr5qpp0GQ/o.jpg,false,https://www.yelp.com/biz/law-office-of-michelle-k-ching-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,1,"[object Object],[object Object]",5,[object Object],,[object Object],+18083927987,(808) 392-7987,315.7110101156989
zaacD2jpndHigv8qNGP6EA,king-dennis-w-atty-honolulu,King Dennis W Atty,,false,https://www.yelp.com/biz/king-dennis-w-atty-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,1,[object Object],1,[object Object],,[object Object],+18085331751,(808) 533-1751,357.7773740241668
20JrkGCFa5iGxLeeNB9EVg,law-offices-of-justin-l-sturdivant-honolulu,Law Offices of Justin L Sturdivant,,false,https://www.yelp.com/biz/law-offices-of-justin-l-sturdivant-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,1,"[object Object],[object Object]",5,[object Object],,[object Object],+18085455855,(808) 545-5855,425.6508936557147
-ZdEy8C0rEQBMk8GLwowGQ,hochberg-james-attorney-at-law-honolulu,Hochberg James Attorney At Law,https://s3-media2.fl.yelpcdn.com/bphoto/M2VqhrTnybV9p9r1VBUDEA/o.jpg,false,https://www.yelp.com/biz/hochberg-james-attorney-at-law-honolulu?adjust_creative=6kO3-l2pBd_V-z0xmX4N0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6kO3-l2pBd_V-z0xmX4N0g,3,"[object Object],[object Object]",4.5,[object Object],,[object Object],+18085341514,(808) 534-1514,202.75972145411978